MUSTERDATENSATZ,thema,Bezeichnung,Bezeichnung2,e,f,THEMA,BEZEICHNUNG,URI,Beschreibung,Topic,Label
Sicherheit - Rettungshilfe - Notinsel,sicherheit,rettungshilfe,notinsel,,,Sicherheit,Rettungshilfe - Notinsel,,"Standorte von Anlaufpunkten, die Kindern in Not im Rahmen des Projekts ""Notinsel"" als Zuflucht dienen",safety and security,rescue service - Notinsel (safe haven for children in need)
Sicherheit - Rettungshilfe - Waldrettungspunkt,sicherheit,rettungshilfe,waldrettungspunkt,,,Sicherheit,Rettungshilfe - Waldrettungspunkt,,Waldstandorte für die Notfallalarmierung,safety and security,rescue service - forest rescue point
Sicherheit - Zivilschutz und Katastrophenschutz - Kampfmittelfund,sicherheit,zivilschutzUndKatastrophenschutz,kampfmittelfund,,,Sicherheit,Zivilschutz und Katastrophenschutz - Kampfmittelfund,,Daten zu Kampfmittelfunden und deren Beseitigung,safety and security,civil protection management and disaster management - bomb disposal
Sicherheit - Zivilschutz und Katastrophenschutz - Sirene,sicherheit,zivilschutzUndKatastrophenschutz,sirene,,,Sicherheit,Zivilschutz und Katastrophenschutz - Sirene,,Standorte der und Informationen zu Zivilschutzsirenen,safety and security,civil protection management and disaster management - siren
Soziale Hilfe - Angebot und Beratungsstelle,sozialeHilfe,angebotUndBeratungsstelle,,,,Soziale Hilfe,Angebot und Beratungsstelle,,Verzeichnis des öffentlichen Angebotes sozialer Hilfen bzw. der Beratungsstellen,social support,offer and counselling centre
Soziale Hilfe - Behinderung - Behindertenwohnheim,sozialeHilfe,behinderung,behindertenwohnheim,,,Soziale Hilfe,Behinderung - Behindertenwohnheim,,Einrichtungen für Menschen mit Behinderung,social support,disability - residential care home for people with disabilities
Soziale Hilfe - Behinderung - Menschen mit Behinderung,sozialeHilfe,behinderung,menschenMitBehinderung,,,Soziale Hilfe,Behinderung - Menschen mit Behinderung,,Informationen zu Menschen mit Behinderung,social support,disability - people with disabilities
Soziale Hilfe - Bericht,sozialeHilfe,bericht,,,,Soziale Hilfe,Bericht,,Berichte über soziale Hilfestellungen,social support,report
Soziale Hilfe - Finanzielle Unterstützung - Förderung,sozialeHilfe,finanzielleUnterstuetzung,foerderung,,,Soziale Hilfe,Finanzielle Unterstützung - Förderung,,Finanzielle Unterstützungen im Rahmen der sozialen Hilfe,social support,financial support - aid
Soziale Hilfe - Finanzielle Unterstützung - Grundsicherung,sozialeHilfe,finanzielleUnterstuetzung,grundsicherung,,,Soziale Hilfe,Finanzielle Unterstützung - Grundsicherung,,Informationen zum Leistungsbezug der Grundsicherung,social support,financial support - basic security
Soziale Hilfe - Finanzielle Unterstützung - Wohngeld,sozialeHilfe,finanzielleUnterstuetzung,wohngeld,,,Soziale Hilfe,Finanzielle Unterstützung - Wohngeld,,Statistische Informationen zu Empfängerinnen und Empfängern von Wohngeld,social support,financial support - housing benefit
Soziale Hilfe - Flucht - Asylbewerber,sozialeHilfe,flucht,asylbewerber,,,Soziale Hilfe,Flucht - Asylbewerber,,Statistische Informationen zu Leistungsbeziehenden nach dem Asylbewerberleistungsgesetz,social support,escape  - asylum seeker
Soziale Hilfe - Flucht - Flüchtlingsunterbringung,sozialeHilfe,flucht,fluechtlingsunterbringung,,,Soziale Hilfe,Flucht - Flüchtlingsunterbringung,,Entwicklung der Unterbringung von Flüchtlingen,social support,escape - refugee housing
Soziale Hilfe - Flucht - Flüchtlingszahl,sozialeHilfe,flucht,fluechtlingszahl,,,Soziale Hilfe,Flucht - Flüchtlingszahl,,Zahl der Flüchtlinge,social support,escape - number of refugees
Soziale Hilfe - Flucht - Integration,sozialeHilfe,flucht,integration,,,Soziale Hilfe,Flucht - Integration,,Informationen zu den Angeboten der Flüchtlingshilfe,social support,escape - integration
Soziale Hilfe - Geförderter Wohnungsbau,sozialeHilfe,gefoerderterWohnungsbau,,,,Soziale Hilfe,Geförderter Wohnungsbau,,Kennzahlen zu öffentlich geförderten Wohnungen,social support,subsidized housing
Soziale Hilfe - Pflege,sozialeHilfe,pflege,,,,Soziale Hilfe,Pflege,,Informationen zu Pflegepersonal und Pflegeeinrichtungen,social support,nursing care
Städtisches Personal - Stellenausschreibung,staedtischesPersonal,stellenausschreibung,,,,Städtisches Personal,Stellenausschreibung,,Städtische Stellenangebote,city staff,job posting
Städtisches Personal - Stellenplan,staedtischesPersonal,stellenplan,,,,Städtisches Personal,Stellenplan,,Plan der Stellen im städtischen Dienst,city staff,staffing plan
Tourismus - Gästezahl,tourismus,gaestezahl,,,,Tourismus,Gästezahl,,Zahl der Gäste und Übernachtungen,tourism,number of visitors
Tourismus - Sehenswürdigkeit,tourismus,sehenswuerdigkeit,,,,Tourismus,Sehenswürdigkeit,,Touristenattraktionen,tourism,tourist attraction
Tourismus - Stadtführung,tourismus,stadtfuehrung,,,,Tourismus,Stadtführung,,Informationen zu Stadtrundgängen und touristischen Führungen,tourism,guided city tour
Tourismus -  Unterkunft - Campingplatz,tourismus,unterkunft,campingplatz,,,Tourismus,Unterkunft - Campingplatz,,Verzeichnis der Campingplätze,tourism,accommodation - campsite
Tourismus - Unterkunft - Herberge,tourismus,unterkunft,herberge,,,Tourismus,Unterkunft - Herberge,,Informationen zu Beherbergungen,tourism,accommodation - hostel
Tourismus - Unterkunft - Hotel,tourismus,unterkunft,hotel,,,Tourismus,Unterkunft - Hotel,,Standorte und Kontaktdetails der Hotelbetriebe,tourism,accommodation - hotel
Tourismus - Unterkunft - Privatunterkunft,tourismus,unterkunft,privatunterkunft,,,Tourismus,Unterkunft - Privatunterkunft,,Privatunterkünfte und Übernachtungsmöglichkeiten,tourism,accommodation - private accommodation
Verkehr - Ampelanlage,verkehr,ampelanlage,,,,Verkehr,Ampelanlage,,Standorte der Ampelanlagen,transport,traffic lights
Verkehr - Flugverkehr - Flugbewegung,verkehr,flugverkehr,flugbewegung,,,Verkehr,Flugverkehr - Flugbewegung,,Flugbewegungen und Fluggastaufkommen,transport,air traffic - aircraft movement
Verkehr - Flugverkehr - Flughafen,verkehr,flugverkehr,flughafen,,,Verkehr,Flugverkehr - Flughafen,,Standorte und weitere Informationen zu Flughäfen,transport,air traffic - airport
Verkehr - Fußverkehr - Fußgängerzone,verkehr,fussverkehr,fussgaengerzone,,,Verkehr,Fußverkehr - Fußgängerzone,,"Verkehrsflächen, auf denen Fußgängerinnen und Fußgänger Vorrang oder ausschließliches Nutzungsrecht gegenüber anderen Verkehrsteilnehmerinnen und Verkehrsteilnehmern haben",transport,pedestrian traffic - pedestrian zone
Verkehr - Fußverkehr - Gehweg,verkehr,fussverkehr,gehweg,,,Verkehr,Fußverkehr - Gehweg,,Bürgersteige,transport,pedestrian traffic - pavement
Verkehr - Fußverkehr - Laufstrecke und Wanderstrecke,verkehr,fussverkehr,laufstreckeUndWanderstrecke,,,Verkehr,Fußverkehr - Laufstrecke und Wanderstrecke,,Strecken zum Laufen und Wandern in Kommunen,transport,pedestrian traffic - running route and hiking route
Verkehr - KFZ - Autobahn,verkehr,kfz,autobahn,,,Verkehr,KFZ - Autobahn,,Informationen zum Autobahn-Straßennetz,transport,motor vehicle - motorway
Verkehr - KFZ - Bußgeld,verkehr,kfz,bussgeld,,,Verkehr,KFZ - Bußgeld,,Bußgelddaten,transport,motor vehicle - traffic fine
Verkehr - KFZ - Carsharing,verkehr,kfz,carsharing,,,Verkehr,KFZ - Carsharing,,Standorte und Fahrzeuge des Carsharing-Angebots,transport,motor vehicle - carsharing
Verkehr - KFZ - Elektrotankstelle,verkehr,kfz,elektrotankstelle,,,Verkehr,KFZ - Elektrotankstelle,,E-Tankstellen zur Aufladung von Elektrofahrzeugen,transport,motor vehicle - electric filling station
Verkehr - KFZ - Fahrzeugzulassung,verkehr,kfz,fahrzeugzulassung,,,Verkehr,KFZ - Fahrzeugzulassung,,Statistiken zur Straßenverkehrszulassung von Fahrzeugen,transport,motor vehicle - vehicle registration
Verkehr - KFZ - Messung,verkehr,kfz,messung,,,Verkehr,KFZ - Messung,,KFZ-Zählung und Geschwindigkeitsüberwachung,transport,motor vehicle - traffic count
Verkehr - KFZ - Parkplatz,verkehr,kfz,parkplatz,,,Verkehr,KFZ - Parkplatz,,"Parkberechtigungen, Parkhäuser, Parkflächen",transport,motor vehicle - parking lot
Verkehr - KFZ - Tankstelle,verkehr,kfz,tankstelle,,,Verkehr,KFZ - Tankstelle,,Daten zu Tankstellen,transport,motor vehicle - filling station
Verkehr - KFZ - Taxistand,verkehr,kfz,Taxistand,,,Verkehr,KFZ - Taxistand,,Standorte der Taxihalteplätze,transport,motor vehicle - taxicab station
Verkehr - ÖPNV - Aufzug und Rolltreppe,verkehr,oepnv,aufzugUndRolltreppe,,,Verkehr,ÖPNV - Aufzug und Rolltreppe,,Rolltreppen und Aufzüge im öffentlichen Personennahverkehr,transport,public transportation - elevators and escalators
Verkehr - ÖPNV - Fahrgastzahl,verkehr,oepnv,fahrgastzahl,,,Verkehr,ÖPNV - Fahrgastzahl,,Passagieraufkommen im kommunalen öffentlichen Personennahverkehr,transport,public transportation - ridership
Verkehr - ÖPNV - Liniennetz Sollfahrdaten Echtzeitdaten,verkehr,oepnv,liniennetzSollfahrdatenEchtzeitdaten,,,Verkehr,ÖPNV - Liniennetz Sollfahrdaten Echtzeitdaten,,Netz der kommunalen Verkehrslinien bzw. Ist- und Sollfahrdaten,transport,public transportation - route network target timetable actual timetable 
Verkehr - ÖPNV - Vertriebsstelle,verkehr,oepnv,vertriebsstelle,,,Verkehr,ÖPNV - Vertriebsstelle,,"Standorte der Verkaufsstellen, Servicestellen und Fahrkartenautomaten im ÖPNV",transport,public transportation - ticket sales point
Verkehr - Radverkehr - Abstellplatz,verkehr,radverkehr,abstellplatz,,,Verkehr,Radverkehr - Abstellplatz,,Standorte der Fahrradstellplätze,transport,bicycle traffic - parking area
Verkehr - Radverkehr - Ladestation,verkehr,radverkehr,ladestation,,,Verkehr,Radverkehr - Ladestation,,E-Tankstellen zur Aufladung von Elektrofahrrädern,transport,bicycle traffic - charging station
Verkehr - Radverkehr - Messung,verkehr,radverkehr,messung,,,Verkehr,Radverkehr - Messung,,Standorte und Messergebnisse der Radzählstellen,transport,bicycle traffic - traffic count
Verkehr - Radverkehr - Radweg und Radroute,verkehr,radverkehr,radwegUndRadroute,,,Verkehr,Radverkehr - Radweg und Radroute,,Informationen zu Radwegen und Radrouten,transport,bicycle traffic - bike path and cycle route
Verkehr - Radverkehr - Verleih,verkehr,radverkehr,verleih,,,Verkehr,Radverkehr - Verleih,,Standorte der Fahrradmietsysteme,transport,bicycle traffic - rental
Verkehr - Schiffsverkehr und Fährverkehr - Anlegestelle,verkehr,schiffsverkehrUndFaehrverkehr,anlegestelle,,,Verkehr,Schiffsverkehr und Fährverkehr - Anlegestelle,,Standorte der Schiffsanlegestellen und deren Belegung,transport,boat traffic and ferry traffic - jetty
Verkehr - Schiffsverkehr und Fährverkehr - Fracht,verkehr,schiffsverkehrUndFaehrverkehr,fracht,,,Verkehr,Schiffsverkehr und Fährverkehr - Fracht,,Güterumschlag,transport,boat traffic and ferry traffic - cargo
Verkehr - Schiffsverkehr und Fährverkehr - Passagier,verkehr,schiffsverkehrUndFaehrverkehr,passagier,,,Verkehr,Schiffsverkehr und Fährverkehr - Passagier,,Fahrgäste,transport,boat traffic and ferry traffic - passenger
Verkehr - Sondernutzung,verkehr,sondernutzung,,,,Verkehr,Sondernutzung,,Anträge auf Ausnahmegenehmigungen und Erlaubnisse im Straßenverkehr,transport,special use
Verkehr - Unfall,verkehr,unfall,,,,Verkehr,Unfall,,"Verkehrsunfälle, Verkehrsunfallentwicklung",transport,accident
Wetter - Hitze,wetter,hitze,,,,Wetter,Hitze,,Hitzebelastung und Hitzeinseln im Stadtgebiet,weather,heat
Wetter - Messung,wetter,messung,,,,Wetter,Messung,,Wettermessdaten,weather,weather measurements
Wirtschaft - Arbeitslosigkeit,wirtschaft,arbeitslosigkeit,,,,Wirtschaft,Arbeitslosigkeit,,Statistische Daten zu Arbeitslosigkeit,economy,unemployment
Wirtschaft - Berufspendler,wirtschaft,berufspendler,,,,Wirtschaft,Berufspendler,,"Infomationen zu Pendlerinnen und Pendlern, die regelmäßig zwischen Wohnort und Arbeitsplatz pendeln",economy,working commuter
Wirtschaft - Beschäftigung,wirtschaft,beschaeftigung,,,,Wirtschaft,Beschäftigung,,Statistische Daten zu Beschäftigung,economy,employment
Wirtschaft - Beteiligung an öffentlicher Wirtschaft - Ausschreibung und Vergabe,wirtschaft,beteiligungAnOeffentlicherWirtschaft,ausschreibungUndVergabe,,,Wirtschaft,Beteiligung an Öffentlicher Wirtschaft - Ausschreibung und Vergabe,,Vergaben und Ausschreibungen,economy,participation in public economy - invitation to tender and public procurement
Wirtschaft - Beteiligung an öffentlicher Wirtschaft - Beteiligung,wirtschaft,beteiligungAnOeffentlicherWirtschaft,beteiligung,,,Wirtschaft,Beteiligung an Öffentlicher Wirtschaft - Beteiligung,,Anteile der Kommunen an Unternehmen der Daseinsvorsorge,economy,participation in public economy - shareholding
Wirtschaft - Bürofläche Industriefläche Gewerbefläche,wirtschaft,bueroflaecheIndustrieflaecheGewerbeflaeche,,,,Wirtschaft,Bürofläche Industriefläche Gewerbefläche,,Gewerblich genutzte Flächen,economy,office space industrial space commercial space
Wirtschaft - Coworking,wirtschaft,coworking,,,,Wirtschaft,Coworking,,Gemeinsam genutzte bzw. geteilte Büroräumlichkeiten,economy,coworking
Wirtschaft - Dienstleistung - Einzelhandel,wirtschaft,dienstleistung,einzelhandel,,,Wirtschaft,Dienstleistung - Einzelhandel,,Einzelhandelsgeschäft,economy,service - retail
Wirtschaft - Dienstleistung - Handwerk,wirtschaft,dienstleistung,handwerk,,,Wirtschaft,Dienstleistung - Handwerk,,"Gewerbliche Tätigkeiten, die dem Handwerk zugeordnet werden (nicht industriell)",economy,service - craft and trade
Wirtschaft - Dienstleistung - Postfiliale,wirtschaft,dienstleistung,postfiliale,,,Wirtschaft,Dienstleistung - Postfiliale,,Filialen der Postdienste,economy,service - post office
Wirtschaft - Dienstleistung - Weihnachtsmarkt,wirtschaft,dienstleistung,weihnachtsmarkt,,,Wirtschaft,Dienstleistung - Weihnachtsmarkt,,Weihnachtsmärkte,economy,service - Christmas market
Wirtschaft - Dienstleistung - Wochenmarkt,wirtschaft,dienstleistung,wochenmarkt,,,Wirtschaft,Dienstleistung - Wochenmarkt,,"Regelmäßig stattfindende Märkte, besonders für Gemüse, Obst, Fleisch, Blumen",economy,service - farmer's market
Wirtschaft - Gewerbeanmeldung,wirtschaft,gewerbeanmeldung,,,,Wirtschaft,Gewerbeanmeldung,,Anmeldung der Ausübung eines Gewerbes bei der Behörde,economy,business registration
Wirtschaft - Insolvenz,wirtschaft,insolvenz,,,,Wirtschaft,Insolvenz,,Unternehmensinsolvenzen,economy,insolvency
Wirtschaft - Wirtschaftsförderung,wirtschaft,wirtschaftsfoerderung,,,,Wirtschaft,Wirtschaftsförderung,,Förderung der Wirtschaft durch Kommunen durch finanzielle oder andere Zuwendungen,economy,business development
Wirtschaft - Wirtschaftsstandort,wirtschaft,wirtschaftsstandort,,,,Wirtschaft,Wirtschaftsstandort,,Wirtschaftsrahmenbedingungen in einem bestimmten Gebiet,economy,business location
Sonstiges,sonstiges,,,,,Sonstiges,Sonstiges,,"Unter Sonstiges werden Daten eingeordnet, die nicht in die übrigen Kategorien passen. Im Zuge von Weiterentwicklungen könnten aus diesen Datensätzen neue Kategorien gebildet werden.",miscellaneous,miscellaneous
